gameId,teamId,teamTricode,teamName,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,quarter,finalPoints
22200015,1610612749,MIL,Bucks,29,65,12,34,3,5,4,32,36,21,3,6,8,11,73,10.0,3.0,90.0
22200015,1610612755,PHI,76ers,26,64,4,17,7,9,6,28,34,12,4,3,8,8,63,-10.0,3.0,88.0
22200503,1610612759,SAS,Spurs,11,22,2,5,7,9,1,10,11,10,3,3,5,3,31,5.0,1.0,128.0
22200503,1610612762,UTA,Jazz,11,27,2,10,2,3,3,9,12,3,3,0,4,7,26,-5.0,1.0,122.0
22200503,1610612759,SAS,Spurs,24,42,3,9,14,19,2,19,21,14,7,6,10,11,65,9.0,2.0,128.0
22200503,1610612762,UTA,Jazz,19,51,7,24,11,13,8,16,24,7,7,0,8,13,56,-9.0,2.0,122.0
22200503,1610612759,SAS,Spurs,37,66,6,15,18,24,3,31,34,23,10,7,12,17,98,16.0,3.0,128.0
22200503,1610612762,UTA,Jazz,27,74,9,35,19,23,11,22,33,13,9,2,11,16,82,-16.0,3.0,122.0
22200960,1610612749,MIL,Bucks,11,21,2,8,5,7,2,10,12,9,1,0,1,1,29,0.0,1.0,130.0
22200960,1610612755,PHI,76ers,11,23,5,10,2,2,2,6,8,7,0,0,1,5,29,0.0,1.0,133.0
22200960,1610612749,MIL,Bucks,23,42,5,15,8,10,3,19,22,13,2,3,6,9,59,6.0,2.0,130.0
22200960,1610612755,PHI,76ers,18,43,6,16,11,13,5,13,18,9,2,0,4,7,53,-6.0,2.0,133.0
22200960,1610612749,MIL,Bucks,36,66,14,28,13,16,9,27,36,25,3,3,9,11,99,14.0,3.0,130.0
22200960,1610612755,PHI,76ers,30,63,11,26,14,18,5,16,21,19,4,0,5,11,85,-14.0,3.0,133.0
22201135,1610612744,GSW,Warriors,10,23,4,9,1,1,3,8,11,6,3,1,5,4,25,-11.0,1.0,120.0
22201135,1610612740,NOP,Pelicans,14,25,5,8,3,3,3,10,13,11,1,2,4,2,36,11.0,1.0,109.0
22201135,1610612740,NOP,Pelicans,24,48,9,14,6,7,8,17,25,17,5,4,9,7,63,17.0,2.0,109.0
22201135,1610612744,GSW,Warriors,17,37,6,14,6,6,3,14,17,11,7,3,13,10,46,-17.0,2.0,120.0
22201135,1610612740,NOP,Pelicans,33,68,10,20,13,14,9,25,34,23,6,4,14,14,89,4.0,3.0,109.0
22201135,1610612744,GSW,Warriors,29,62,14,32,13,17,10,22,32,20,10,4,17,16,85,-4.0,3.0,120.0
22200042,1610612744,GSW,Warriors,13,22,3,7,10,11,2,8,10,7,1,1,3,5,39,3.0,1.0,130.0
22200042,1610612758,SAC,Kings,15,29,3,12,3,4,5,6,11,7,3,0,2,8,36,-3.0,1.0,125.0
22200042,1610612744,GSW,Warriors,31,46,10,18,17,20,3,12,15,16,4,4,5,12,89,18.0,2.0,130.0
22200042,1610612758,SAC,Kings,26,50,6,20,13,16,7,12,19,15,5,0,9,17,71,-18.0,2.0,125.0
22200042,1610612744,GSW,Warriors,41,68,13,29,18,24,4,23,27,23,6,5,9,18,113,19.0,3.0,130.0
22200042,1610612758,SAC,Kings,35,74,8,31,16,20,10,24,34,21,7,1,14,22,94,-19.0,3.0,125.0
22200816,1610612753,ORL,Magic,9,19,2,5,6,8,0,10,10,8,2,2,1,3,26,4.0,1.0,98.0
22200816,1610612752,NYK,Knicks,9,21,3,8,1,2,1,9,10,6,1,2,3,4,22,-4.0,1.0,102.0
22200816,1610612752,NYK,Knicks,16,40,5,19,3,6,4,20,24,8,1,2,8,11,40,-8.0,2.0,102.0
22200816,1610612753,ORL,Magic,18,40,4,13,8,12,1,19,20,12,4,3,2,8,48,8.0,2.0,98.0
22200816,1610612752,NYK,Knicks,25,62,10,33,6,10,7,27,34,14,4,2,9,16,66,-3.0,3.0,102.0
22200816,1610612753,ORL,Magic,27,57,4,18,11,16,2,28,30,16,4,4,8,12,69,3.0,3.0,98.0
22200085,1610612749,MIL,Bucks,13,29,4,8,2,3,4,9,13,10,2,1,1,3,32,2.0,1.0,123.0
22200085,1610612737,ATL,Hawks,11,22,5,9,3,5,2,10,12,3,1,1,2,2,30,-2.0,1.0,115.0
22200085,1610612737,ATL,Hawks,19,44,6,12,7,9,7,18,25,7,3,2,7,4,51,-8.0,2.0,115.0
22200085,1610612749,MIL,Bucks,23,52,9,19,4,7,8,18,26,15,6,3,4,5,59,8.0,2.0,123.0
22200085,1610612737,ATL,Hawks,31,69,10,22,12,15,11,24,35,13,4,2,10,11,84,-7.0,3.0,115.0
